Hypothesis,Reference
"Затем , есть затраты , связанные с воздействием санкций на торговлю и инвестиции .",Э
"Некоторые из этих стран либо находятся в конфликте , либо являются государствами , поэтому сокращение потока денежных переводов усилит их нестабильность , и , возможно , приведет к росту потока миграции в другие страны .",Н
"В эту эпоху правительство не может безнаказанно выборы , бросать своих оппонентов в тюрьмы , иностранные или отечественные частные активы , допускать масштабную коррупцию или расходы .",В
"Вопрос заключается не в том , включать или не включать валютный анализ в стратегию денежно - кредитной политики , а в том , как объединить результаты валютного и экономического анализа , чтобы достигнуть всеобъемлющей и постоянной оценки рисков для стабильности цен .",В
"Третий фактор предполагает , что тенденция снижения курса евро по отношению к доллару , не может продолжаться намного дольше , так это торговый дисбаланс между США и Европой .",Т
"Не менее , чем писал Александр в , что « всегда … Их церковь с , а угрозы в не только простых людей , но и ».",Н
"Как один регулирующий орган ЕС будет решать проблему дисбалансов , но он , конечно , является достойной целью .",Х
конституция расширяет суд и верховного совета прокуроров и судей .,И
"Учитывая его и взгляды на историю Японии в военном отношении , регион к новому дипломатической напряженности , его речи .",У
"Все это дипломатическая деятельность хорошо новость для всех , повсюду .",Э
"Рим был построен не за один день , и он будет принимать многие такие атаки на реформы !",Р
"В - четвертых , глобальный капитализм представляет много прямых угроз для счастья .",В
"Но это не больше преступление , чем тот факт , что американские средства массовой информации отражают американские стремления и во времена войны ведут себя как за американскими войсками .",Н
", что со временем страдания по жесткой экономии стали , в умах многих греков , которые преимущества своей помощи .",Н
"Однако , данные показатели не впечатляют .",Р
"врасплох в Тибете , и популярностью того , что они называют « » настроениями , правители Китая к традиционным методам авторитарных режимов , глубокий национализм и чувство унижения своих граждан от западных критиков .",З
"Проблемы со здоровьем могут быть в , но многие из них начинаются с того , как вы себя дома – то , что вы и , ли Вы или достаточно или , и т . д .",П
"Более того , 85 % сказали , что взрывы террористов - смертников редко оправданы или никогда не оправданы , и только 1 % сказали , что насилие , для защиты ислама , является « часто » допустимо .",Б
"Суть заключается в том , что , несмотря на риторику , фармацевтические компании становятся все менее и менее .",О
"Но другие биотопливо , как угрозу жизни , потому что растения , используемые для производства продуктов питания , должны сельскохозяйственные земли и воды , которые могут быть использованы для выращивания продуктов питания .",Н
"Очевидно , что все это стоит денег , и именно тут играют приоритеты .",О
"Действительно , эти концентрация выше , чем в любой точке за последние 400 лет , и еще больше роста необходимо , поскольку до сих пор эти эффекты в значительной степени были вызваны лишь 25 % мирового населения .",Ф
"В конце концов , крупные дефициты не имеют надёжного воздействия на снижение безработицы , а снижение дефицита может быть с падением безработицы .",В
"Так что , это должно быть сделано что - то верным .",Т
"Дорога к демократии всегда была – посмотрите на столетие потрясений в Европе и трудности , с которыми сталкиваются США , когда сталкиваются с и правами черного населения .",Д
"Наконец , переговоры шести сторон , в конечном итоге привели – очевидно , к оппозиции Китая к Азии .",Ш
"Почти шесть месяцев , общий ущерб остается трудно оценить .",И
экономическое пространство Европы для всех территорий бывшего советского блока будет способствовать безопасности и процветанию во всем регионе .,Р
"Так идея , что евреи управляют Америкой .",О
"В преддверии кризиса Федеральная резервная система США ( инфляция ) была еще более , чем мнение – фактически , она едва ли хоть какое - либо время , или ресурсы для анализа колебаний цен на жильё .",В
"Но Нобелевский Фонд вынужден смотреть на гораздо более , применить материал , если он считает экономическую приз .",О
Кто виноват в Великобритании ?,К
"Неравенство уменьшилось , хотя оно и произошло с высокого уровня .",Н
"Рассмотрим борьбу с СПИДом , туберкулезом и малярией .",П
"Власть предлагает возможность дешевой , электроэнергии , что будет способствовать социальной и политической стабильности .",А
"Америка изо всех сил пытается справиться с финансовым кризисом и на Ближнем Востоке и в Средней Азии , данное соглашение с Индией может стать одним из немногих значимых достижений внешней политики администрации Буша .",У
Рост Солидарности в 1980 - х годах был самым первым и самым серьезным ударом по советской системы .,В
"В действительности , Ирак уже присоединился к списку стран - неудачников мира , и его в лучшем случае можно описать как потенциальную трех государств плюс город .",В
"Решение Дэвида отступить с линии политических курсов сделало очевидным , что произошла казнь , и можно , если окажется не в состоянии , и , следовательно , не будет в том направлении , а именно в том , каким образом он совершил насилие .",Р
"Для пациентов классификации классификации являются основой понимания процессов , себя и заболевания других .",Д
"Силы быстрого реагирования НАТО скоро будут достигать своих первоначальных операций , и наша новая по обороне будет иметь , и ядерные угрозы уже полностью все идеи , предложенные Соединенными Штатами , и быстро Союзом .",С
"Хотя либеральная демократия далека от совершенства , она остается лучшей защитой от экстремизма и нетерпимости – и наиболее мощным посредником человеческого прогресса .",Х
"Для израильтян и палестинцев достижение внутреннего мира может оказаться столь же сложной задачей , как и установление мира друг с другом .",Д
"Когда наступит беспорядок , скорее всего , будет – как и кризис евро – Греция , которая находится на президентских выборах , которые , кажется , вряд ли увеличат победитель .",К
Но это должно быть сценарием для всех европейских государств .,Н
"Теперь он жизнь более , чем Сингапур , напоминает Париж до автомобиля и репутацию японского туристов в , транспортных и .",Н
"И правительства будут определять , следует ли нам готовиться к жесткой конкуренции или истинной работе .",И
"Мы пытаемся экстраполировать прошлый опыт небольшой части населения мира , которую мы решили изучить , потому что они сделали много денег .",И
"между двумя целями , Китай занял более высокий приоритет сохранению династии Ким .",Р
"Проблема не в , а в неплатёжеспособности на процентных ставках .",П
"Вместо этого , практически по всей работе в администрации он выбрал в качестве советников людей , . .",В
"Ни ВВП , ни не являются изменениями в период или различий во всех странах , которые находятся в уязвимости .",П
"К сожалению , мы не сможем обеспечить .",К
"Снова и снова на протяжении всей нашей жизни мы должны заставить себя относиться к фактам и , которые кажутся противоположными нашему собственному .",С
"Этот процесс , называемый « и » ведущими мировыми .",С
Главные последствия войны в Ираке не будут на поле боя .,Г
"Россия показывает , что готова предоставить такие услуги по производству топлива .",Р
"мусульмане работы великих греческих ученых , и философов .",Р
"положение цыган не просто краткосрочная проблема безопасности , которую можно решить с помощью мер , которые людей к тому , чтобы заставить их одного государства другому .",Т
В таком мире ни одна страна не агрессию .,В
"Гейтс указал , что военные расходы составляют примерно половину долларов в год , по сравнению с бюджетом Госдепартамента в размере 36 миллиардов долларов США .",Г
"Они развиваются и легко адаптироваться , что означает , что они нашим лекарствам на время .",О
"В последующие годы , до начала глобального финансового кризиса , в 2008 году , ежегодный рост ВВП в Аргентине составил 8 % или выше , одной из самых высоких темпов роста в мире .",В
"ПАРИЖ . Сегодня почти считается само собой разумеющимся , что этот век является « азиатский век », что является политическим / экономическим изменением в мировой силе с Запада на Восток .",П
"Соседи Бирмы в АСЕАН должны перестать смотреть сквозь пальцы на то , как правители Бирмы на граждан Бирмы .",С
"Эта гибкость необходима из - за природы проблем , которые появляются на горизонте .",Т
Каждый из крупных центральных банков мира может сделать аргументы для осторожности .,К
"Именно в этом контексте должна быть приверженность Европы к внутренним реформам , правам человека , международному праву и ответственные государственные органы .",И
"Урок заключается не в том , что вступление в футбол – это плохо .",У
"Но заявления о том , что Китай , похоже , не основаны на инфляции .",Н
"Давайте вспомним , как логика финансовой инновации , приведшая нас к текущим , казалась не слишком убедительной .",Д
"Правые же , уже пережили подъем анти - Партии независимости Великобритании , возглавляемой и , в котором Британия обрела собственную версию Сильвио Берлускони , если вы не можете себе представить .",Н
"Еще большие снижения ожидается в странах - кандидатах в Центральной и Восточной Европе , от общего количества до , падения или около 20 %.",Е
"Если бы кто - то к подобным действиям в Чечне , русские справедливо бы с .",Е
"Но , в то время как Япония может быть на правильном пути после двух десятилетий экономического застоя , все еще предстоит сделать многое , чтобы обеспечить долговременное будущее страны .",Н
"Коррупция широко распространена , и кампания Си Цзиньпина остается широко популярной .",К
В прошлом году были 45 .,В
Некоторые из них будут спасены .,Н
"Не важно , сколько Милошевич напряженность , его политика по отношению к этническим Косово была действительно популярна среди сербов .",Н
"Если внутреннее сопротивление преуспеет вытеснить Россию из Сирии , как случилось с Советским Союзом в Афганистане и Россией во время первой чеченской войны , Путин может столкнуться с проблемами дома .",Е
"Эти потери доходов можно было бы компенсировать за счет сокращения так называемых « корпоративных налоговых расходов » – , кредитов и других специальных налоговых условий , которые некоторые экономические виды , одновременно другие – и расширения корпоративной базы .",Э
"Обычно такие достоинства имеют значение , сочетание таланта и обучения .",П
консолидация бюджета консолидация бюджета,С
"В то время как народы Восточной Европы воспринимали членство в ЕС как подтверждение их исторической принадлежности Западу и как еще один шаг от советского режима , ЕС , казалось , не удовлетворить эти ожидания .",В
"Возможно , в какой - то есть полная занятость , хотя ни один бизнес не получает достаточного количества рабочих мест в этой местности , или даже в этой стране .",В
"Даже если мы свои массы расходов и анализа , которые показывают , что они могут позволить более выбросы в США в течение первых десятилетий , у них есть более фундаментальные проблемы с этим законодательством .",Д
"ущерб , нанесенный , скорее всего , будет гораздо больше требований , чем любые попытки облегчить напряженность после того , как будет объявлено о расширении НАТО .",С
"С 1994 по 2013 год , изменение климата Пакистану в среднем на 4 млрд долларов США в год .",С
"Когда его сотрудники говорили более смело и , он ответил : « Это не мне мне ».",К
"Более того , до израильско - палестинских переговоров два года назад , предыдущие правительства Израиля , при премьер - министру Эхуд Ольмерт и министр иностранных дел Ливни вели переговоры в течение двух лет с палестинской администрацией .",К
"Но есть причины полагать , что более высокие процентные ставки , даже если они ожидали , могут оказать негативное влияние на цены на жилье .",Н
"Но правые критики папы римского римского ошибаются не только в их , но и в их .",Т
"Но что если страны , которые находятся на противоположных по одной стороны , находятся на одной и той же стороне другой ?",Н
Нобелевский лауреат Рональд давно ответил на этот вопрос .,Н
"Таким образом , любое внимание к торговым дисбалансам должно на крупнейшего глобального дисбаланса : в США .",Т
Некоторые из них слишком к Обаме .,Ч
"Так что не удивительно , что , несмотря на уступки , сделанные на встрече + 1 ( Китай , Франция , Россия , Великобритания и Соединенные Штаты , плюс Германия ).",Т
Пример Германии имеет большое значение для Франции и Саркози на этом .,Г
"Например , в работе , опубликованной весной в Институте Брукингса в Вашингтоне , Колумбия , Джеймс из Гарвардского университета и Марк из Принстонского университета представили новую « модель », используя данные с 1959 по 2011 гг . по 2011 гг . в 2011 г . в 2011 г . Джеймса из Принстонского университета и Марк из Принстонского университета , , новую « модель », , данные с 1959 по 2011 гг .",Н
"Тем временем , политика принадлежит элитам .",Т
"Однако , если европейские граждане должны принять это , ЕС нуждается в большей демократии .",О
Решение Мак Кейна - это скорее политика Буша – снижение налогов для богатых плюс обещания обуздать государственные расходы .,Р
"выгода от либерализации рынка капитала широко обсуждается ( хотя последние исследования вызывают некоторые сомнения в том , что они идут на пользу ).",М
"Это также гораздо лучший механизм , с помощью которого МВФ во время кризисов , чем кредитные линии МВФ из нескольких стран (« кредиты »), что « Большая двадцатка » опять выступает в поддержку , поскольку это действительно многосторонний фонды , которые не зависят от отдельных стран .",Э
"Но прежде чем она сможет использовать любую возможность , Индия нуждается в устойчивом правительстве .",О
В течение следующих недель « Хезболла » должна будет на нескольких уровнях .,В
"Это не так в большей части Африки , которая испытывает некоторые из самых крупных мировых дефицитов энергии , и где всего два из десяти человек имеют доступ к .",Н
"Не ожидалось , что события таким образом .",Н
"И хотя сдвиг в регионе был « », его игроки не ограничены арабским миром или границами ближневосточного конфликта .",И
"Сегодня проблема многих демократических политиков заключается в том , что они стали почти такими же , как старые коммунистические .",С
Уровень безработицы высок и концентрируется среди французских меньшинств из - за определенных учреждений рынка труда .,У
"Европейский Союз взял на себя обязательства и своих государств - членов увеличить потоки помощи до 0 , 56 % от ВВП к 2010 году и 0 , 7 % к 2015 году − большая часть этих усилий была на Африке .",Е
"Для принятия мер , которые все , начиная с обучения , к сотрудничеству между университетами и компаниями , а также общего делового климата , в котором успех , и провал не рассматривается как человеческая катастрофа .",Д
"Например , никто даже не идею введения диктатуры , отмены выборов и так далее .",Н
"Это простая структура , легко избирателям в правилами ведения торговли .",Э
"В то время как средний уровень доходов в течение 1994 - 97 годов вырос на 90 %, бремя сельского налога на сельское хозяйство на 800 %.",В
"Президент Перу Умала , как ожидается , посетит Белый дом на следующей неделе , в то время как вице - президент Джо Байден планирует посетить Латинскую Америку вскоре после этого .",П
"Во - первых , расширение ЕС будет иметь право на приграничные страны России и бывшего Советского Союза ; если Турция вступит в зону , то ЕС также станет центром Ближнего Востока .",В
"Тем не менее , Японии на саммите , Китай и Южная Корея , которые очень пострадали от японской агрессии в прошлом веке , громко протестовали .",Т
"Внутренний спрос , особенно потребление , сегодня слабы или падают в странах с избыточными затратами ( США , Великобритания , Испания , Ирландия , Австралия , Новая Зеландия и т . д ., не достаточно быстро в странах с накоплением сбережений ( Китай , Азия , Германия и т . д .) для того , чтобы компенсировать сокращение экспорта этих стран .",В
"Даже администрация Буша поставила жизни миллионов африканцев , инфицированных СПИДом выше экономических интересов американских фармацевтических корпораций , когда она вновь подтвердила бывшего президента Клинтона , что США не смогут помешать африканским странам своих собственных производителей для выпуска дешевых копий лекарств , которые могли бы спасти жизни своих граждан , хотя бы патенты на американские компании были основаны на этих .",Д
"Это было темой его речи на съезде Демократической партии в 2004 году , с известной : « Не существует Америки либеральной Америки и Америки консервативной ; есть Соединенные Штаты Америки Америки ».",Э
"Экономика остается одной областью иранской жизни , где Ахмадинежад удерживает значительную власть .",Э
"До сих пор это не было сильным , особенно для Америки .",Н
"Всего за несколько часов до решения Верховного суда США - генеральный секретарь оппозиционного Движения за демократические перемены ( MDC ), был арестован после своего возвращения в Зимбабве .",В
ли глобальная сможет выдержать эти дополнительные без значительных изменений в ?,С
"Правление ЕЦБ уже в принципе , чтобы использовать первые инструменты политической политики .",Р
"Буш и европейские лидеры сделали заявление после недавней встречи в Австрии , сказав , что Россия должна уважать « демократические свободы , уважение прав человека , гражданское общество и прозрачность , и ответственно подходить к вопросам энергетической безопасности ».",Б
"Мы настолько привыкли к мысли о свободной торговле как делах либеральных экономистов и торговых переговорщиков в , что мы забываем о том , как столетие назад свободная торговля была основной причиной для многих демократов , радикалов , активистов , женщин и , действительно , организованных профсоюзов .",М
"Подобным образом , в мусульманских странах не для осуждения Чарльза , чтобы осуждать , и многие известные врачи утверждают , что современные технологические и научные события в .",П
Но все эти утверждения опытом .,О
"Короче говоря , стремление к коллективному кажется .",К
Ответ на вопрос развивающихся рынков был бы простым несколько лет назад .,О
"Те , кто в область , имеют представление о том , что возможно , и что основывается на некоторой комбинации предыдущих успехов , известной литературы , сегодняшних границ знаний и правды , и довольно трудно отличить эти источники .",У
Последние шаги Путина в Северной Корее и его по отношению к Ираку - являются лишь последними примерами .,В
"Свободный доступ к оружию в США приводит к ужасающей , если сравнивать с другими широко образованными и богатыми обществами , и их .",С
"Демократия , которую производит правительства во главе с Хамасом , Хезболлой или , неизбежно должна быть антизападной и против американского процесса « мирного урегулирования » с Израилем .",Д
"И все же , если обвинения оправданы , вина за это , вероятно , лежит больше , или предыдущие комиссии Жака ( который уже давно уже ), а не в состав проекта под руководством Жака , или других стран - членов ЕС , которые тратят 80 % бюджета Союза .",Н
"Экономические силы явно превышают денежно - кредитную политику страны , определяющие относительные цены , которые должны обладать товарами и услугами , и которые они в конечном итоге имеют , вне зависимости от денежно - кредитной политики .",Я
"Будут ли они довольны тем , что Лондон за пределы своей коллективной , несмотря на то , что нормативные требования Кэмерона не были признаны ?",Б
"Мягкая сила страны основывается на трех основных ресурсах : культуре , политических ценностях , которые она поддерживает , и внешней политике , которая моральным авторитетом .",М
"Решение не является , а стратегией , подобная той , что использовал президент Дуайт Эйзенхауэр в 1950 - х годах .",Р
"Мао также приказал стране уничтожить « четыре »: старые идеи , старая культура , старые обычаи и старые привычки .",М
"В целом , они должны изучать программы собственности и , и , таким образом , должны предложить способ хеджирования рисков , которые они создают .",В
"И все же нет надежного способа достижения соглашения с такими радикальными силами , как Иран , Сирия , Хамас и Хезболла , которые все из них стремятся к разрушению Израиля .",Т
Неудача в Копенгагене была не в отсутствии обязательного соглашения .,Н
"Разрешение проблемы изменения климата требует переоценки системы , сродни , которые требуют окончания холодной войны .",Р
"был обречен на то , чтобы лежать перед миллионами , и его страна преследовать и вернуть его с .",М
"Влияние этих новых популистов , ведущих войну с исламом , выходит далеко за рамки границ их стран .",В
"начались с гуманитарных наук в сердце , но сегодня он играет с естественных наук .",И
"Правительство Ирана больше не может утверждать , что ядерная программа – это национальная причина с широкой поддержкой .",П
"В этом случае Fund ( ) с правительствами , которые совместно с фондами в Дании , чтобы создать новые компании , способные помочь в борьбе с .",В
"Но Ширак повел себя так , как будто его мандат был неоспоримым и сформировал самое консервативное французское правительство за последние полвека .",Н
"Борьба в Косово - первый значительный конфликт , который , по крайней мере , одна из сторон не включает никаких соображений стратегии , территории , природных ресурсов или даже идеологию .",С
"Когда проведенные банком исследования показали , что выдвижение условий не работает , банк под руководством Вольфенсона от нее .",К
"Второй принцип - союз профсоюзами , движение труда с 1930 - х годов .",В
"Но те , кто ожидал , что его визит в основном будет относительно переговоров между Израилем и палестинцами , были разочарованы .",Н
"экономическая , с серьезными политическими последствиями .",О
"доход мужчины в полный рабочий день меньше , чем 40 лет назад .",М
"Короче говоря , определенные террористические угрозы должны вестись с узко направленных операций , в то время как умеренные должны победить экстремизм посредством политики компромисса , а не ложных и опасных иллюзий военной победы .",О
"кризиса понятна , но без этих новых , творческих подходов к финансированию Силиконовая долина могла бы никогда не появиться .",Б
"То , что Хаменеи сам больше , делает эту задачу вдвойне трудным для него .",Т
"И популистские партии правого и левого толка – , анти - евро , анти - , анти - торговля и рынок – становятся сильнее во всей Европе .",П
"политик - это человек , политику как инструмент для достижения общего блага .",Ч
"Конечно , крах коммунизма не был результатом удара Запада ( хотя гонка вооружений способствовала развалу системы ).",К
"Если не остановить , количество смертельных исходов от рака шейки матки к 2030 году вырастет до 000 человек ежегодно .",Е
Свобода не принадлежит какой - либо конкретной нации или системе .,С
"К 1900 году , после промышленной революции в Европе и Америке , Азия составляла всего лишь одну пятую от мирового производства .",К
"Трудно с теми , кто принял решение в Южной Африке принять это предложение . амнистии .",Т
Это большая проблема .,Э
операции против Талибана и аль - Каеды привели к результатам .,Р
Ни один разумный человек в Европе не хочет возродить Холодная войну .,Н
"Тем временем , экономика Японии , похоже , восстанавливается после поколения недомогания , поскольку в этом году темп роста превысил 3 %.",Т
"Похоже , у Обамы есть все политические таланты , и он тоже .",У
"Увы , существуют сходства между Европой и Америкой .",Н
"С точки зрения таких , европейская проблема кажется еще более масштабной , чем у американцев .",С
Возвращение иранских радикалов в Иране,В
"Даже некоторые ситуации на месте между Израилем и его соседями были в результате понимания , которое часто включало третье количество партий .",Д
"Но после многих лет изоляции , отношения Евросоюза и Беларуси наконец дают некоторым надежду на будущее .",О
"Но в данном случае наши опасения были настолько серьезными , чтобы преодолеть любые разногласия .",Н
"По мнению , век электрических транспортных средств изменит энергетическую систему , модели и , в целом , улучшит качество жизни в городских районах , где живет большая часть населения мира , будет жить и .",П
Экономика « в воде ».,Э
Дорога к положению в Нигерии,Д
"В прошлом году Бразилия должна была снизить уровень инвестиций , поскольку экономика боролась с увеличением бюджетного дефицита , растущего долгового бремени для всей экономики и слабой и деловой окружающей среды .",К
"Спад глобальной экономики увеличивает политический риск в разных странах , в зависимости от серьезности шока и характере социального контракта .",С
"Некоторые беспокоятся , будет ли Буш использовать свой электорат для того , чтобы вовлечь в еще больше предприятия .",Н
"Я думаю , что американцев Сулеман является их собственной вины и стыда за свои недавние решения .",Я
Сегодня в Северной Африке миллионы людей требуют права голоса в своей собственной судьбе .,С
Около 3 000 человек умирают на дорогах в мире каждый день .,П
"На выборах в Афганистане прошли исламисты : Хамас среди палестинцев на Западном Берегу и в Секторе Газа ; ориентированная на вооруженная в Ираке ; фракция в Марокко и , что более важно , правящая Партия справедливости и развития ( AKP ) в Турции .",И
"В конце концов , подобные доводы могут отличаться , и результат не может быть решен другими , чем обращение к власти - я более и , чем , таким образом , мой диагноз имеет приоритет .""",Т
